,全长,体长,头长,吻长,体高,尾柄长,尾柄高,眼球直径,D1-2,D1-3,D1-4,D2-4,D3-4,D3-5,D3-6,D4-5,D4-6,D5-6,D5-7,D5-8,D6-7,D6-8,D7-8,D7-9,D7-10,D8-9,D8-10,D9-10,group
WYS14,22.808,18.873,5.418,6.679,7.084,2.544,2.691,0.857,6.897,4.029,5.568,4.643,8.168,5.214,6.679,12.415,6.114,8.426,1.405,4.585,8.158,6.121,3.488,2.606,4.055,4.432,3.074,2.623,WYS
WYS15,22.588,18.14,5.044,1.737,5.859,2.116,2.471,0.862,6.791,3.124,4.975,4.622,7.145,5.022,5.595,11.385,4.877,7.808,1.796,3.801,8.557,7.063,2.88,2.092,3.311,3.777,2.159,2.923,WYS
WYS16,19.732,15.749,4.347,1.328,5.506,2.031,2.058,0.785,5.319,3.155,4.157,3.971,6.516,4.324,5.353,10.118,4.451,7.124,1.559,3.473,7.583,6.034,2.538,2.059,3.099,3.52,2.083,2.448,WYS
WYS17,20.931,16.896,4.725,1.496,6.047,2.163,2.496,0.75,5.575,3.438,4.704,4.296,6.958,4.971,5.774,10.768,4.791,7.448,1.595,4.058,7.925,6.599,3.021,2.237,3.411,3.549,1.824,2.837,WYS
WYS18,19.583,16.033,4.531,1.459,5.387,1.917,2.07,0.778,5.202,3.58,4.037,4.311,6.42,4.534,5.012,10.268,4.144,7.252,1.403,3.318,7.53,6.167,2.475,1.895,2.968,3.392,2.179,2.355,WYS
WYS19,21.408,17.259,4.992,1.599,6.426,2.109,2.483,0.91,5.936,3.79,4.854,4.596,7.236,4.806,5.996,10.991,5.171,7.576,1.712,4.131,7.706,6.123,2.969,2.111,3.524,3.808,2.253,2.827,WYS
WYS20,28.783,23.464,6.462,2.102,8.01,2.912,3.064,1.009,7.874,4.667,6.108,5.362,9.751,6.449,7.651,15.186,7.295,9.926,2.397,5.005,10.735,8.799,3.67,3.032,4.471,4.983,3.135,3.466,WYS
TY1,10.335,8.213,2.731,0.766,2.932,0.944,1.042,0.617,3.272,1.428,2.675,2.194,3.836,1.967,2.905,5.389,2.703,3.553,0.668,1.754,3.638,3.004,1.257,0.936,1.54,1.619,1.086,1.212,TY
TY2,12.604,10.214,3.251,0.972,1.297,1.176,3.842,1.84,3.049,2.841,4.267,2.696,4.31,2.711,3.248,6.464,2.827,4.32,1.044,2.222,4.751,4.298,1.492,1.038,1.855,1.838,1.212,1.401,TY
TY3,16.02,12.868,4.329,1.395,4.361,1.757,1.633,0.749,5.138,2.374,3.935,3.347,5.735,3.119,4.287,8.117,4.079,5.179,1.027,2.81,5.311,4.118,2.143,1.559,2.645,2.778,1.932,1.964,TY
